Identifiant,Annee,NUM_SAGO,Entreprise,Etablissement,SCIAN,Adresse,Region,Mun,Longitude,Latitude,Emissions_totales,Emissions_bio_combustion,Emissions_bio_autres,Emissions_totales_sans_bio,Note
26,2012,53983623,"Kronos Canada, inc.","Kronos Canada, inc.",325130 : Fab. de teintures & de pigments synthétiques,"3390, Route Marie-Victorin Varennes (Québec), J3X 1P7",Montérégie,Varennes,-73.42733256,45.71282795,172026,0,0,172026,
27,2012,53587036,Uniboard Canada inc.,Uniboard Canada inc.,321216 : Usines de panneaux de particules & de fibres,"845, rue Jean-Baptiste-Reid Mont-Laurier (Québec), J9L 3W3",Laurentides,Mont-Laurier,-75.48160848,46.55710177,76510,74124,0,2386,
29,2012,X1300282,Uniboard Canada inc.,Uniboard Canada inc.,321999 : Fab. de tous les autres produits divers en bois,"5555, rue Ernest-Cormier Laval (Québec), H7C 2S9",Laval,Laval,-73.65388889,45.63083333,8190,6949,0,1241,
30,2012,90366345,Uniboard Canada inc.,"Uniboard Canada inc., division Sayabec",321216 : Usines de panneaux de particules & de fibres,"152, route Pouliot Sayabec (Québec), G0J 3K0",Bas-Saint-Laurent,Sayabec,-67.6554,48.5556,118283,113367,0,4916,
31,2012,90383993,Uniboard Canada inc.,Uniboard Canada inc. - Division Val-d'Or,321216 : Usines de panneaux de particules & de fibres,"2700, boulevard Jean-Jacques-Cossette Val-d'Or (Québec), J9P 6Y5",Abitibi-Témiscamingue,Val-d'Or,-77.77976389,48.11555,67400,60345,0,7055,
33,2012,55583157,Kruger Wayagamack Holding Inc.,Kruger Wayagamack S.E.C,322121 : Usines de papier (sauf papier journal),"1, chemin de l'île-de-la-Potherie Trois-Rivières (Québec), G9A 5E9",Mauricie,Trois-Rivières,-72.52317051,46.35893318,343316,292506,0,50810,
41,2012,11141181,Hydro-Québec,Hydro-Québec (ensemble du réseau),221121 : Transport & gestion d'électricité en bloc,"75, boulevard René-Lévesque Ouest Montréal (Québec), H2Z 1A4",Montréal,Montréal,,,57124,0,0,57124,
43,2012,26185066,Aluminerie Alouette inc.,Aluminerie Alouette inc.,331313 : Production primaire d'alumine & d'aluminium,"400, Chemin de la Pointe-Noire Sept-Îles (Québec), G4R 5M9",Côte-Nord,Sept-Îles,-66.44426976,50.1588997,1062978,0,0,1062978,
49,2012,X0007684,Hydro-Québec,Centrale de Kuujjuaq,221112 : Product. d'électr. à partir de combust. fossile,,Nord-du-Québec,Kuujjuaq,-68.40611111,58.11111111,12930,0,0,12930,
63,2012,X1202356,Ville de Lévis,Incinérateur de ville de Lévis,562210 : Traitement & élimination des déchets,"3451, rue Vulcain Lévis (Québec), G6W 0K8",Chaudière-Appalaches,Lévis,-71.17734137,46.74986945,22345,11561,0,10784,
64,2012,X2003586,Felix Schoeller Inc.,"Felix Schoeller Inc., Drummondville",322121 : Usines de papier (sauf papier journal),"3075, rue Kunz Drummondville (Québec), J2C 6Y4",Centre-du-Québec,Drummondville,-72.54305503,45.87524943,14802,0,0,14802,
65,2012,53539565,Fortress Specialty Cellulose inc.,Fortress Cellulose Spécialisée inc. (anc.: FPS Canada inc.),322112 : Usines de pâte chimique,"451, rue Victoria Thurso (Québec), J0X 3B0",Outaouais,Thurso,-75.25627778,45.59722222,708655,593041,1029,114585,
66,2012,53053278,Rio Tinto Alcan inc.,Rio Tinto Alcan (usine Arvida CEO),331313 : Production primaire d'alumine & d'aluminium,"1955, boul. Mellon, C.P. 1500 Jonquière (Québec), G7S 4L2",Saguenay--Lac-Saint-Jean,Saguenay,-71.17150988,48.42988705,739530,0,0,739530,
68,2012,55261028,La Cie Matériaux de Construction BP Canada,La Cie de matériaux de construction BP Canada,321216 : Usines de panneaux de particules & de fibres,"420, rue Dupont Pont-Rouge (Québec), G3H 1S2",Capitale-Nationale,Pont-Rouge,-71.71260278,46.74849444,24023,0,0,24023,
69,2012,55408272,Ciment Québec inc.,Ciment Québec inc. (Saint-Basile),327310 : Fab. de ciment,"145, boulevard du Centenaire Saint-Basile (Québec), G0A 3G0",Capitale-Nationale,Saint-Basile,-71.81277778,46.74444444,636497,42147,0,594350,
70,2012,90301854,Industries Norbord inc.,Industries Norbord inc. - Division La Sarre,321217 : Usines de panneaux de copeaux,"210, 9e avenue Est La Sarre (Québec), J9Z 2X5",Abitibi-Témiscamingue,La Sarre,-79.19112222,48.80003056,149542,145492,0,4050,
71,2012,55326326,Industries Norbord inc.,Les Industries Norbord inc. - Division Val-d'Or,321217 : Usines de panneaux de copeaux,"1, rue des Panneaux Val-d'Or (Québec), J9P 7A1",Abitibi-Témiscamingue,Val-d'Or,-77.773175,48.11586667,53699,51156,0,2543,
72,2012,52294303,Agropur coopérative,Agropur Coopérative - Usine de Notre-Dame-du-Bon-Conseil,"311515 : Fab. beurre, fromage, prod. laitier sec & conc.","81, rue Saint-Félix Notre-Dame-du-Bon-Conseil (Québec), J0C 1A0",Centre-du-Québec,Notre-Dame-du-Bon-Conseil,-72.33798611,46.00135833,14573,0,0,14573,
83,2012,52485471,Agropur coopérative,Agropur Coopérative - Usine de Granby,"311515 : Fab. beurre, fromage, prod. laitier sec & conc.","1100, rue Omer-Deslauriers Granby (Québec), J2J 0S7",Estrie,Granby,-72.77986111,45.3855,19699,0,0,19699,
84,2012,52294329,Agropur coopérative,Agropur Coopérative - Usine de Plessisville,"311515 : Fab. beurre, fromage, prod. laitier sec & conc.","2400, rue de la Coopérative Plessisville (Québec), G6L 3G8",Centre-du-Québec,Plessisville,-71.75918372,46.22420044,7582,0,0,7582,
93,2012,25754581,E.I. Dupont Canada-Thetford inc.,E.I. Dupont Canada-Thetford inc.,327990 : Fab. de tous les autres prod. miné. non métall.,"1045, rue Monfette Est Thetford Mines (Québec), G6G 7K7",Chaudière-Appalaches,Thetford Mines,-71.29550644,46.11032428,297,0,0,297,
94,2012,52176989,Rio Tinto Alcan inc.,Rio Tinto Alcan inc. (Usine Grande-Baie),331313 : Production primaire d'alumine & d'aluminium,"5000, route du Petit-Parc La Baie (Québec), G7B 4G9",Saguenay--Lac-Saint-Jean,Saguenay,-70.92576326,48.30551388,522220,0,0,522220,
97,2012,53752275,Ville de Montréal,Ouvrage municipal d'assainissement des eaux usées de Montréal (station Jean-R.-Marcotte),221320 : Installations d'épuration des eaux usées,"12001, boulevard Maurice-Duplessis Montréal (Québec), H1C 1V3",Montréal,Montréal,-73.52283056,45.67088611,206258,115882,0,90376,
98,2012,X0000274,Arcelormittal Montréal inc.,ArcelorMittal Produits longs Canada - Longueuil,331110 : Sidérurgie,"2555, chemin du Lac Longueuil (Québec), J4N 1C1",Montérégie,Longueuil,-73.45777778,45.56888889,24882,0,0,24882,
101,2012,51615177,Papiers de Publication Kruger inc.,Kruger Sherbrooke (secteur Brompton),322122 : Usines de papier journal,"220, route de Windsor Sherbrooke (Québec), J1C 0E6",Estrie,Sherbrooke,-71.95555556,45.48194444,8250,0,0,8250,
106,2012,52725884,Showa Denko Carbone Canada inc.,SGL Canada inc.,327990 : Fab. de tous les autres prod. miné. non métall.,"963, chemin Bethany Lachute (Québec), J8H 2C5",Laurentides,Lachute,-74.28820382,45.63629477,22402,0,0,22402,
111,2012,55133573,Alcoa Deschambault Ltée,Compagnie de gestion Alcoa-Lauralco,331313 : Production primaire d'alumine & d'aluminium,"1, boulevard des Sources Deschambault-Grondines (Québec), G0A 1S0",Capitale-Nationale,Deschambault-Grondines,-71.94694444,46.69388889,461410,0,0,461410,
113,2012,16358459,Sanimax Lom inc.,Sanimax lom inc. (Usine d'équarissage),311614 : Fonte graisse animale & transf. de viande carc.,"9900, 6e Rue (R.-d.-P.) Montréal (Québec), H1C 1G2",Montréal,Montréal,-73.55685175,45.65186726,29780,0,0,29780,
114,2012,11560620,Sanimax aci inc.,Sanimax aci inc.,311614 : Fonte graisse animale & transf. de viande carc.,"2001, avenue de la Rotonde Lévis (Québec), G6X 2L9",Chaudière-Appalaches,Lévis,-71.27384678,46.70407609,19196,0,0,19196,
116,2012,24143562,Cascades Canada ULC,"Cascades Canada ULC, Trois-Rivières",322121 : Usines de papier (sauf papier journal),"700, rue Notre-Dame Est Trois-Rivières (Québec), G8T 4H9",Mauricie,Trois-Rivières,-72.4966,46.3713,15466,15111,0,355,
122,2012,90255340,Municipalité régionale de comté de La Nouvelle-Beauce,Écocentre et LET de Saint-Édouard-de-Frampton,562210 : Traitement & élimination des déchets,"SAINT-ÉDOUARD-DE-FRAMPTON 10, route Boulet Lots 125, 127 et 129, G6E 2K9",Chaudière-Appalaches,Frampton,-70.76090307,46.37570572,20279,0,2329,17950,
124,2012,90282864,"Chapais Énergie, société en commandite",Chapais Énergie - Usine de cogénération,221119 : Autres activités de production d'électricité,"140, rue de la Cogénération Chapais (Québec), G0W 1H0",Nord-du-Québec,Chapais,-74.85699722,49.77199167,351333,343510,0,7823,
126,2012,X2123406,Silicium Québec Société en commandite,Silicium Québec Société en commandite (usine principale),331110 : Sidérurgie,"6500, rue Yvon-Trudeau Bécancour (Québec), G9H 2V8",Centre-du-Québec,Bécancour,-72.38998739,46.37088638,294283,120499,0,173784,
127,2012,90269820,Ville de Gatineau,Site d'enfouissement sanitaire Cook,562210 : Traitement & élimination des déchets,"1050, 1050 Chemin Cook Gatineau (Québec), J9J 3P8",Outaouais,Gatineau,-75.856125,45.45415,37588,438,2933,34217,
130,2012,54604582,Les Aliments Maple Leaf inc.,Rothsay division de Darling International Canada inc. (usine Ste-Catherine),311614 : Fonte graisse animale & transf. de viande carc.,"605, 1e Avenue Sainte-Catherine (Québec), J5C 1C5",Montérégie,Sainte-Catherine,-73.58670833,45.40594444,12953,9499,0,3454,
134,2012,51274785,Barrette-Chapais ltée,Scierie Chapais,321111 : Scieries sauf usines de bard. & bard. de fente,,Nord-du-Québec,Eeyou Istchee Baie-James,-74.71570734,49.78853877,33085,28101,0,4984,
135,2012,X1300114,Alcoa Canada Cie,Compagnie Howmet Canada,"331523 : Fonderies, métaux non ferr. moulage sous press.","4001, Autoroute des Laurentides Laval (Québec), H7L 3H7",Laval,Laval,-73.76633616,45.58186244,1182,0,0,1182,
136,2012,52978491,Elkem Métal Canada inc.,Elkem Métal Canada inc.,332999 : Fab. de tous les autres produits métall. divers,"2020, chemin de la Réserve Saguenay (Québec), G7J 0E1",Saguenay--Lac-Saint-Jean,Saguenay,-71.13116547,48.4123772,134584,30023,0,104561,
139,2012,28631430,Arcelormittal Montréal inc.,ArcelorMittal Produits longs Canada - Contrecoeur-Ouest,331110 : Sidérurgie,"2050, route des Aciéries Contrecoeur (Québec), J0L 1C0",Montérégie,Contrecoeur,-73.26583333,45.82055556,84258,0,0,84258,
140,2012,90512179,Arcelormittal Montréal inc.,ArcelorMittal Produits longs Canada - Contrecoeur Est,331110 : Sidérurgie,"3900, route des Aciéries Contrecoeur (Québec), J0L 1C0",Montérégie,Contrecoeur,-73.24694444,45.83444444,608355,0,0,608355,
141,2012,54477369,Rio Tinto Alcan inc.,Rio Tinto Alcan inc. - Installations de Jonquière (Usine Vaudreuil),331313 : Production primaire d'alumine & d'aluminium,"1955, boul. Mellon, C. P. 1500 Jonquière (Québec), G7S 4L2",Saguenay--Lac-Saint-Jean,Saguenay,-71.14124826,48.42397635,590364,0,0,590364,
143,2012,21651674,Aluminerie de Bécancour inc.,"Aluminerie de Bécancour inc., usine de Bécancour",331313 : Production primaire d'alumine & d'aluminium,"5555, rue Pierre-Thibault Bécancour (Québec), G9H 2T7",Centre-du-Québec,Bécancour,-72.38312222,46.38459444,786131,0,0,786131,
144,2012,52192812,Greenfield Global Quebec inc.,"Greenfield Global Québec inc. (Éthanol Greenfield, 300 M-V)",325190 : Fab. d'autres produits chim. organiques de base,"3300, route Marie-Victorin Varennes (Québec), J3X 0J5",Montérégie,Varennes,-73.42450833,45.70768611,87941,213,28790,58938,
145,2012,X0000456,Excelitas Canada inc.,Excelitas Canada Inc,334410 : Fab. semi-conducteurs & autres comp. électron.,"22001, chemin Dumberry Vaudreuil-Dorion (Québec), J7V 8P7",Montérégie,Vaudreuil-Dorion,-74.02822224,45.4160114,14712,0,0,14712,
151,2012,90473620,Produits forestiers Arbec S.E.N.C.,"Scierie Port-Cartier - Arbec, Usine Port-Cartier inc.",321111 : Scieries sauf usines de bard. & bard. de fente,"175, boulevard Portage-des-Mousses Port-Cartier (Québec), G5B 2V9",Côte-Nord,Port-Cartier,-66.82313236,50.02571339,84007,80698,0,3309,
154,2012,90156969,Mines Agnico Eagle limitée,Mine Laronde,212220 : Extraction de minerais d'or & d'argent,"10200, Route de Preissac Rouyn-Noranda (Québec), J0Y 1C0",Abitibi-Témiscamingue,Preissac,-78.45560833,48.24957222,26655,0,0,26655,
155,2012,90285628,Régie intermunicipale du comté de Beauce-Sud,LET de Saint-Côme-Linière,562210 : Traitement & élimination des déchets,,Chaudière-Appalaches,Saint-Côme--Linière,-70.54659504,46.08795813,40263,473,4345,35445,
160,2012,28651388,"Énergir, s.e.c.",Société en commandite Gaz Métro,221210 : Distribution de gaz naturel,"1717, rue du Havre Montréal (Québec), H2K 2X3",Montréal,Montréal,,,38173,0,0,38173,
161,2012,13687348,Cascades Canada ULC,"Cascades Emballage carton-caisse - Cabano, une division de Cascades Canada ULC",322130 : Usines de carton,"520, rue Commerciale Nord Témiscouata-sur-le-Lac (Québec), G0L 1E0",Bas-Saint-Laurent,Témiscouata-sur-le-Lac,-68.862104,47.66851,222726,199115,0,23611,
163,2012,90266321,Centre hospitalier de l'Université de Montréal,Hôpital Notre-Dame,622111 : Hôpitaux généraux (sauf pédiatriques),"1560, rue Sherbrooke Est Montréal (Québec), H2L 4M1",Montréal,Montréal,-73.56326608,45.52581101,10945,0,0,10945,
171,2012,23406218,Newalta Corporation,Terrapure BR Ltd,331529 : Fond. métaux non ferr. sauf moulage sous press.,"1200, rue Garnier Sainte-Catherine (Québec), J5C 1B4",Montérégie,Sainte-Catherine,-73.60035694,45.40232929,51075,3278,0,47797,
177,2012,55379713,ADM Agri-Industries Company,ADM Agri-Industries Company - Candiac,311990 : Fab. de tous les autres aliments,"155, avenue d'Iberia Candiac (Québec), J5R 3H1",Montérégie,Candiac,-73.51341667,45.40072222,33092,4659,8713,19720,
178,2012,90307828,Chimie Parachem S.E.C.,Chimie ParaChem S.E.C.,325110 : Fab. de produits pétrochimiques,"3500, avenue Broadway Montréal-Est (Québec), H1B 5B4",Montréal,Montréal-Est,-73.52135341,45.63408931,230172,0,0,230172,
179,2012,14749212,Cascades Canada ULC,"Cascades Groupe Tissu, une division de Cascades Canada ULC",322121 : Usines de papier (sauf papier journal),"467, boulevard Marie-Victorin Kingsey Falls (Québec), J0A 1B0",Centre-du-Québec,Kingsey Falls,-72.06637879,45.86466591,18989,0,0,18989,
180,2012,51615219,Papiers de Publication Kruger inc.,Kruger Trois-Rivières S.E.C.,322122 : Usines de papier journal,"3735, boulevard Gene-H.-Kruger Trois-Rivières (Québec), G9A 6B1",Mauricie,Trois-Rivières,-72.55666667,46.32611111,96696,84424,0,12272,
181,2012,52686292,Produits Kruger S.E.C.,Produits Kruger s.e.c. Crabtree,322121 : Usines de papier (sauf papier journal),"100, 1e Avenue Crabtree (Québec), J0K 1B0",Lanaudière,Crabtree,-73.4655,45.9639,63008,0,0,63008,
182,2012,90531914,"Intragaz, Société en commandite","Intragaz, société en commandite",493190 : Autres activités d'entreposage,"41, rue des Pointes Saint-Flavien (Québec), G0S 2M0",Chaudière-Appalaches,Saint-Flavien,-71.56863905,46.51082621,4661,0,0,4661,
183,2012,90281247,Cascades Canada ULC,"Cascades Groupe Tissu Lachute, une division de Cascades Canada ULC",322121 : Usines de papier (sauf papier journal),"115, rue de la Princesse Lachute (Québec), J8H 4M3",Laurentides,Lachute,-74.34661968,45.65195437,13797,0,0,13797,
184,2012,52784139,Cascades Canada ULC,Cascades Groupe Tissu - Candiac Une division de Cascades Canada ULC,322121 : Usines de papier (sauf papier journal),"75, boulevard Marie-Victorin Candiac (Québec), J5R 1C2",Montérégie,Candiac,-73.52447222,45.39927778,30055,0,0,30055,
188,2012,51367431,Cascades Groupe Papiers Fins inc.,Les entreprises Rolland inc.,322121 : Usines de papier (sauf papier journal),"256, boulevard Jean-Baptiste-Rolland Ouest Saint-Jérôme (Québec), J7Y 0L6",Laurentides,Saint-Jérôme,-74.00297719,45.76056943,81498,42275,31643,7580,
189,2012,X2097090,Kruger Énergie Bromptonville S.E.C.,Kruger Énergie Bromptonville S.E.C.,221119 : Autres activités de production d'électricité,"220, route de Windsor Sherbrooke (Québec), J1C 0E6",Estrie,Sherbrooke,-71.9528389,45.4805214,328719,309195,0,19524,
190,2012,21620133,Cascades Canada ULC,ancienne cartonnerie Cascades vendue et démantelée,322130 : Usines de carton,"4010, chemin Saint-André Saguenay (Québec), G7Z 1A2",Saguenay--Lac-Saint-Jean,Saguenay,-71.2525781,48.43489599,66003,43976,0,22027,
191,2012,29603578,Cascades Canada ULC,"Cascades East Angus, usine de papiers à usages spéciaux",322121 : Usines de papier (sauf papier journal),"248, rue Warner East Angus (Québec), J0B 1R0",Estrie,East Angus,-71.66388889,45.48222222,120117,85521,0,34596,
195,2012,55583132,PF Résolu Canada inc.,Société de Développement de Shawinigan,322121 : Usines de papier (sauf papier journal),"100, Division Laurentide 1e Rue (Grand-Mère) Shawinigan (Québec), G9T 7J1",Mauricie,Shawinigan,-72.68302343,46.61647028,150434,79201,0,71233,
196,2012,52269974,Maibec inc.,Maibec inc. (scierie),321111 : Scieries sauf usines de bard. & bard. de fente,"24, 6e Rang Saint-Pamphile (Québec), G0R 3X0",Chaudière-Appalaches,Saint-Pamphile,-69.77621835,46.96849984,40273,38199,0,2074,
204,2012,90308982,Société en commandite Boralex Énergie,Centrale énergétique Boralex Senneterre,221119 : Autres activités de production d'électricité,"190, chemin Saint-Pierre Senneterre (Québec), J0Y 2M0",Abitibi-Témiscamingue,Senneterre,-77.22298056,48.38363333,174047,169848,0,4199,
205,2012,90531120,Rio Tinto Alcan inc.,Rio Tinto Alcan inc. (Usine Alma),331313 : Production primaire d'alumine & d'aluminium,"3000, rue des Pins Ouest Alma (Québec), G8B 5W2",Saguenay--Lac-Saint-Jean,Alma,-71.68796434,48.58466643,579996,0,0,579996,
206,2012,54162128,Produits Kruger S.E.C.,"Produits Kruger inc., Usine de Gatineau",322121 : Usines de papier (sauf papier journal),"20, rue Laurier Gatineau (Québec), J8X 4H3",Outaouais,Gatineau,-75.70951413,45.42738547,56207,0,0,56207,
219,2012,90186107,BENEV Capital Inc.,RSI Environnement,562910 : Services d'assainissement,"80, rue des Mélèzes Saint-Ambroise (Québec), G7P 2N4",Saguenay--Lac-Saint-Jean,Saint-Ambroise,-71.292775,48.54201944,13358,1391,0,11967,
223,2012,27305903,Arcelormittal Coteau-du-Lac inc.,ArcelorMittal Coteau-du-Lac SEC,"332810 : Revêt., gravure, trait. therm. & act. analogues","25, rue de l'Acier Coteau-du-Lac (Québec), J0P 1B0",Montérégie,Coteau-du-Lac,-74.20408333,45.30122222,11162,0,0,11162,
224,2012,51615201,Kruger inc.,"Kruger, Emballages Krupack, Usine de Place Turcot",322130 : Usines de carton,"5845, place Turcot Montréal (Québec), H4C 1V9",Montréal,Montréal,-73.60466584,45.46311541,39856,0,0,39856,
227,2012,90486168,AB Mauri (Canada) limitée,AB Mauri (Canada) Ltée,311814 : Boulang. comm. & fab. prod. boulangerie congelé,"31, rue Airlie Montréal (Québec), H8R 1Z8",Montréal,Montréal,-73.6529659,45.42628951,38336,0,28283,10053,
228,2012,X2115280,"Lidya Énergie, Société en commandite",Lidya Énergie inc.,221119 : Autres activités de production d'électricité,"6985, chemin des Sources Lachute (Québec), J8H 2C5",Laurentides,Lachute,-74.24284543,45.60974735,81308,46808,34455,45,
229,2012,51977304,Rio Tinto Alcan inc.,Rio Tinto Alcan - Usine de Beauharnois,331313 : Production primaire d'alumine & d'aluminium,"40, rue de l'Industrie Beauharnois (Québec), J6N 0C2",Montérégie,Beauharnois,-73.89402011,45.30743519,11054,0,0,11054,
231,2012,X2017441,Société en commandite Boralex Énergie,Société en commandite Boralex Énergie,221112 : Product. d'électr. à partir de combust. fossile,"36, rue Lajeunesse Kingsey Falls (Québec), J0A 1B0",Centre-du-Québec,Kingsey Falls,-72.062998,45.863381,117712,0,0,117712,
237,2012,90251398,Nexans Canada inc.,Nexans Canada inc.,"331420 : Laminage, étirage, extrusion & alliage du Cu","460, avenue Durocher Montréal-Est (Québec), H1B 5H6",Montréal,Montréal-Est,-73.5134278,45.62829153,16987,0,0,16987,
244,2012,90560244,Société en commandite Papier Masson WB,Commandité Papier Masson WB ltée (anc.: Papier Masson ltée),322122 : Usines de papier journal,"2, chemin de Montréal Ouest Gatineau (Québec), J8M 2E1",Outaouais,Gatineau,-75.42396944,45.54098889,10929,0,16,10913,
247,2012,54586102,Les Produits Forestiers D&G Ltée,Les Produits Forestiers D.G. ltée (usine de rabotage),321111 : Scieries sauf usines de bard. & bard. de fente,"313, rang Saint-Joseph Sainte-Aurélie (Québec), G0M 1M0",Chaudière-Appalaches,Sainte-Aurélie,-70.33048861,46.18529776,22612,20239,0,2373,
248,2012,X0600851,Lallemand inc.,Lallemand inc.,311990 : Fab. de tous les autres aliments,"1620, rue Préfontaine Montréal (Québec), H1W 2N8",Montréal,Montréal,-73.54499197,45.53935699,55368,0,45080,10288,
249,2012,53998084,Rio Tinto Alcan inc.,Rio Tinto Alcan inc. (Usine Laterrière),331313 : Production primaire d'alumine & d'aluminium,"6301, boulevard Talbot Saguenay (Québec), G7N 1A2",Saguenay--Lac-Saint-Jean,Saguenay,-71.12789254,48.30150053,439000,0,0,439000,
256,2012,90491556,PF Résolu Canada inc.,Produits forestiers Résolu - Division Alma,322111 : Usines de pâte mécanique,"1100, rue Melançon Ouest Alma (Québec), G8B 5W2",Saguenay--Lac-Saint-Jean,Alma,-71.65283333,48.56344444,98603,45586,0,53017,
257,2012,54697867,Mintech Canada inc.,Mintech Canada inc.,327990 : Fab. de tous les autres prod. miné. non métall.,"609, 12e Rang Windsor (Québec), J1S 2X2",Estrie,Windsor,-71.98038499,45.56393742,10851,711,0,10140,
258,2012,90292129,Municipalité régionale de comté de Bellechasse,LET de Armagh,562210 : Traitement & élimination des déchets,,Chaudière-Appalaches,Armagh,-70.61794686,46.71540485,32333,508,3406,28419,
268,2012,53042156,Rio Tinto Alcan inc.,Installations portuaires - Alcan,"482112 : Transport ferrov. de march., courte distance","262, 1re Rue La Baie (Québec), G7B 3R1",Saguenay--Lac-Saint-Jean,Saguenay,-70.87387222,48.33420556,14573,0,0,14573,
271,2012,90114273,Régie régionale de gestion des matières résiduelles de Portneuf,Régie régionale de gestion des matières résiduelles de Portneuf (LET Neuville),562210 : Traitement & élimination des déchets,"1310, chemin du Site Neuville (Québec), G0A 2R0",Capitale-Nationale,Neuville,-71.68405556,46.73138889,47163,231,5577,41355,
272,2012,X2110042,Régie de gestion des matières résiduelles du Lac-Saint-Jean,Lieu d'enfouissement technique de L'Ascension,562210 : Traitement & élimination des déchets,"5955, route Uniforêt L'Ascension-de-Notre-Seigneur (Québec), G0W 1Y0",Saguenay--Lac-Saint-Jean,L'Ascension-de-Notre-Seigneur,-71.57609318,48.76806152,16971,0,1941,15030,
273,2012,90319468,Produits forestiers Arbec S.E.N.C.,Produits forestiers Arbec inc.  (Scierie de Péribonka),321111 : Scieries sauf usines de bard. & bard. de fente,"5005, route Uniforêt L'Ascension-de-Notre-Seigneur (Québec), G0W 1Y0",Saguenay--Lac-Saint-Jean,L'Ascension-de-Notre-Seigneur,-71.61978668,48.7542639,42776,39028,0,3748,
275,2012,54584552,PF Résolu Canada inc.,"PF Résolu Canada inc., division Clermont",322122 : Usines de papier journal,"100, rue de la Donohue Clermont (Québec), G4A 1A7",Capitale-Nationale,Clermont,-70.22531482,47.69885312,24432,5109,0,19323,
276,2012,X0000005,Rayonier A.M. Canada Société en nom collectif,Complexe Témiscaming,322112 : Usines de pâte chimique,"33, chemin Kipawa Témiscaming (Québec), J0Z 3R0",Abitibi-Témiscamingue,Témiscaming,-79.09591667,46.71107778,574900,473766,9766,91368,
278,2012,90096116,Glencore Canada Corporation,Mine Raglan,212232 : Extraction de minerais de nickel-cuivre,"Plateau Katiniq Nunavik (Québec), J0Y 1M0",Nord-du-Québec,Rivière-Koksoak                                           ,-73.67936111,61.68716667,150019,195,0,149824,
279,2012,51782654,Dow Chemical Canada ULC,Dupont Varennes,326140 : Fab. de produits en mousse de polystyrène,"4445, route Marie-Victorin Varennes (Québec), J3X 1P7",Montérégie,Varennes,-73.40644166,45.73037681,273114,0,0,273114,
